Name,Number,InStat Index,Matches played,Minutes played,Starting lineup appearances,Substitute out,Substitutes in,Goals,Assists,Offsides,Yellow cards,Red cards,Shots,Shots on target,Penalty,"Penalties
 scored","Penalty kicks scored, %",Passes,"Accurate passes, %",Key passes,Crosses,"Accurate crosses, %",Lost balls,Lost balls in own half,Ball recoveries,Ball recoveries in opponent's half,xG (Expected goals),Challenges,"Challenges won, %",Attacking challenges,Air challenges,"Air challenges won, %",Dribbles,Tackles,Ball interceptions,Free ball pick ups,Nationality,Team,Position,Chances,Chances successful,"Chances, % of conversion",Сhances created,Fouls,Fouls suffered,Total actions,Successful actions,"Successful actions, %","Shots on target, %",Shots wide,Blocked shots,Shots on post / bar,Accurate passes,Key passes accurate,Crosses accurate,Challenges won,Defensive challenges,Defensive challenges won,"Challenges in defence won, %",Attacking challenges won,"Challenges in attack won, %",Air challenges won,Dribbles successful,"Successful dribbles, %",Tackles successful,"Tackles won, %",National team ,Age,Height,Weight,Foot,"National team (last match date, mm.yy)","Youth national team (last match date, mm.yy)",Expected assists,xG per shot,xG per goal,xG conversion,xG with a player on,Opponent's xG with a player on,Net xG (xG player on - opp. team's xG),Defensive xG (xG of shots made by guarded player),Defensive xG per shot
Andres Yair Renteria,-,189.0,15,1221,14,9,1,6,0,11,4,0,54,20,0,0,-,206,80.1,9,3,0.0,97,6,12,4,6.29,217,45.62,189,96,42.71,34,8,15,23,"Colombia, Mexico",Jaguares,F,32,9,28.12,12,14,18,541,341,63.03,37.04,24,8,2,165,2,0,99,28,11,39.29,88,46.56,41,24,70.59,3,37.5,-,28.0,179.0,79.0,Right,3.15,3.16,0.49,0.12,1.05,11.09,14.160000000000002,13.460000000000003,0.7000000000000001,0.0,0.0
E. Caicedo,-,242.0,6,566,6,0,0,0,1,0,3,1,1,0,0,0,-,260,85.0,1,0,-,22,4,59,8,0.09,91,64.84,18,35,71.43,5,17,34,43,Colombia,Deportes Tolima,CD,1,0,0.0,1,10,3,446,372,83.41,0.0,1,0,0,221,1,0,59,73,46,63.01,13,72.22,25,4,80.0,12,70.59,-,26.0,186.0,74.0,Left,-,1.15,0.33,0.09,-,0.0,5.1499999999999995,3.38,1.7700000000000002,0.42000000000000004,0.22
G. Perea,-,287.0,15,1339,14,1,1,0,0,0,2,0,3,1,0,0,-,862,92.34,0,0,-,34,15,100,6,0.38000000000000006,139,65.47,27,71,64.79,2,29,97,52,Colombia,Atl. Nacional,CD,2,0,0.0,0,8,3,1166,1045,89.62,33.33,1,1,0,796,0,0,91,112,74,66.07,17,62.96,46,1,50.0,21,72.41,-,30.0,182.0,73.0,Right,-,-,0.02,0.13,-,0.0,14.56,11.81,2.75,0.5599999999999999,0.29
J. Pereira,-,262.0,17,986,11,9,6,1,0,1,3,0,14,6,0,0,-,586,89.42,4,4,25.0,53,11,52,12,1.21,135,54.07,54,28,64.29,20,45,49,60,Colombia,Millonarios,DM,4,1,25.0,3,12,6,874,735,84.1,42.86,5,3,0,524,1,1,73,81,42,51.85,31,57.41,18,13,65.0,22,48.89,-,28.0,182.0,75.0,Right,-,-,1.09,0.09,1.21,6.0,12.33,7.680000000000001,4.61,0.05,0.05
J. Garavito,-,252.0,3,292,3,0,0,0,1,0,0,0,0,0,0,0,-,91,84.62,0,2,0.0,18,7,19,3,0.0,45,60.0,18,3,100.0,8,11,17,21,Colombia,Quindio,LM,0,0,-,1,2,7,178,142,79.78,-,0,0,0,77,0,0,27,27,18,66.67,9,50.0,3,5,62.5,8,72.73,-,20.0,-,-,Both,-,3.17,0.21000000000000002,-,-,0.0,3.4,2.61,0.7899999999999999,0.0,0.0
N. Messiniti,-,167.0,9,262,2,2,7,0,0,4,0,0,2,1,0,0,-,37,59.46,3,0,-,44,9,2,1,0.22999999999999998,59,23.73,54,9,11.11,14,2,6,5,Argentina,Once Caldas,F,2,0,0.0,4,1,2,116,52,44.83,50.0,1,0,0,22,3,0,14,5,1,20.0,13,24.07,1,4,28.57,0,0.0,-,25.0,184.0,80.0,Both,-,-,1.02,0.12,-,0.0,2.01,2.64,-0.63,0.0,0.0
W. De La Rosa,-,235.0,19,1711,19,11,0,5,6,7,3,0,31,11,0,0,-,379,70.18,19,36,19.44,162,27,31,10,4.469999999999999,321,36.45,215,59,22.03,53,50,36,68,Colombia,Pereira,RM,19,6,31.58,13,26,46,886,524,59.14,35.48,12,8,0,266,7,7,117,106,46,43.4,71,33.02,13,23,43.4,28,56.0,-,28.0,166.0,64.0,Right,-,-,4.64,0.14,0.89,38.5,16.21,18.709999999999997,-2.5,0.03,0.03
B. Cordoba,-,-,2,28,0,0,2,0,0,0,0,0,0,0,0,0,-,3,33.33,0,0,-,2,1,1,0,0.0,2,50.0,0,1,100.0,0,1,2,0,Colombia,Atl. Nacional,CM,0,0,-,0,0,1,8,4,50.0,-,0,0,0,1,0,0,1,2,1,50.0,0,-,1,0,-,0,0.0,-,21.0,191.0,79.0,Right,-,-,0.0,-,-,0.0,0.45,0.06,0.39,0.01,0.01
S. Noreña,-,189.0,6,306,2,0,4,0,0,0,1,0,1,0,0,0,-,138,84.78,0,0,-,13,3,27,0,0.09,39,66.67,7,19,63.16,2,9,21,18,Colombia,Envigado,DM,0,0,-,1,4,2,223,188,84.3,0.0,1,0,0,117,0,0,26,32,20,62.5,6,85.71,12,2,100.0,6,66.67,-,23.0,182.0,74.0,Both,-,-,0.04,0.09,-,0.0,2.66,3.19,-0.56,0.06,0.06
Nelson Palacio Ruiz,-,206.0,5,89,0,0,5,0,0,0,0,0,2,2,0,0,-,36,94.44,0,0,-,4,2,9,4,0.04,15,46.67,5,4,75.0,1,4,3,5,Colombia,Atl. Nacional,DM,0,0,-,0,5,1,63,51,80.95,100.0,0,0,0,34,0,0,7,10,5,50.0,2,40.0,3,0,0.0,2,50.0,-,20.0,-,-,Both,-,-,0.12,0.02,-,0.0,1.5299999999999998,1.04,0.49000000000000005,0.0,0.0
J. Alvez,-,262.0,9,281,2,2,7,3,1,0,0,0,11,7,0,0,-,47,74.47,1,2,50.0,34,4,4,2,1.4300000000000002,85,37.65,73,30,40.0,8,8,3,3,"Uruguay, Brazil",Atl. Nacional,F,9,3,33.33,2,5,4,151,81,53.64,63.64,3,1,0,35,1,1,32,12,5,41.67,27,36.99,12,3,37.5,5,62.5,-,33.0,183.0,80.0,Right,-,-,0.46,0.13,0.48,6.3,2.97,3.42,-0.44999999999999996,0.0,0.0
C. Hidalgo,-,214.0,12,716,9,8,3,1,0,5,1,0,10,5,0,0,-,115,82.61,2,1,0.0,66,12,11,4,1.67,124,30.65,98,45,22.22,3,12,9,7,Colombia,Deportivo,F,11,1,9.09,2,8,6,274,156,56.93,50.0,4,1,0,95,2,0,38,26,11,42.31,27,27.55,10,1,33.33,5,41.67,-,35.0,184.0,74.0,Right,-,-,0.7000000000000001,0.17,1.67,2.4,4.69,7.4399999999999995,-2.75,0.0,0.0
J. Marulanda,-,230.0,13,1017,11,3,2,1,1,0,4,0,6,1,0,0,-,533,83.11,3,12,16.67,56,18,59,6,0.09,132,56.82,33,34,64.71,9,46,51,46,Colombia,Atl. Nacional,RD,1,1,100.0,2,12,6,781,623,79.77,16.67,2,3,0,443,3,2,75,99,54,54.55,21,63.64,22,6,66.67,27,58.7,-,25.0,178.0,70.0,Right,-,-,0.8,0.02,0.09,33.0,12.04,9.64,2.4000000000000004,0.45,0.33
J. Castro,-,199.0,17,1618,17,1,0,3,0,1,4,0,26,12,0,0,-,570,78.42,5,20,0.0,86,20,97,17,3.45,241,63.9,86,61,68.85,21,72,76,87,Colombia,La Equidad,DM,15,3,20.0,6,39,8,1027,792,77.12,46.15,11,3,0,447,1,0,154,155,98,63.23,56,65.12,42,12,57.14,53,73.61,-,24.0,176.0,63.0,Right,-,2.17,0.47000000000000003,0.13,1.15,20.470000000000002,18.000000000000004,15.249999999999998,2.7199999999999998,0.29000000000000004,0.25
J. Bocanaegra,-,200.0,3,59,0,0,3,0,0,0,0,0,1,0,0,0,-,29,86.21,0,0,-,2,0,0,0,0.01,7,71.43,5,2,100.0,3,1,0,4,Colombia,Junior,RM,0,0,-,0,1,2,44,37,84.09,0.0,0,1,0,25,0,0,5,2,1,50.0,4,80.0,2,2,66.67,0,0.0,-,22.0,170.0,74.0,Left,-,-,0.13,0.01,-,0.0,1.8399999999999999,0.18,1.6600000000000001,0.0,0.0
P. Valoyes,-,219.0,1,90,1,1,0,0,0,0,0,0,0,0,0,0,-,36,83.33,0,0,-,4,1,9,2,0.0,18,61.11,3,1,100.0,3,8,7,5,Colombia,Deportivo,LD,0,0,-,0,0,1,67,53,79.1,-,0,0,0,30,0,0,11,15,9,60.0,2,66.67,1,2,66.67,4,50.0,-,23.0,-,-,Both,-,-,0.0,-,-,0.0,0.71,2.3,-1.57,0.0,0.0
E. Valencia,-,216.0,19,993,9,7,10,1,2,1,4,0,24,7,0,0,-,433,74.83,10,25,12.0,108,14,32,10,1.49,179,44.13,122,30,36.67,49,34,27,44,Colombia,Pereira,LM,9,1,11.11,10,17,19,758,515,67.94,29.17,9,7,1,324,2,3,79,57,31,54.39,48,39.34,11,26,53.06,22,64.71,-,24.0,175.0,69.0,Left,-,9.19,1.2400000000000002,0.06,1.49,33.0,9.56,11.91,-2.3499999999999996,0.03,0.03
A. Colorado,-,230.0,18,1367,15,8,3,3,4,2,2,0,16,9,0,0,-,613,87.93,5,4,25.0,73,15,70,31,1.5400000000000005,220,54.55,75,42,61.9,17,80,52,82,Colombia,Cali,DM,11,3,27.27,9,23,16,1004,813,80.98,56.25,3,4,0,539,3,1,120,145,75,51.72,44,58.67,26,14,82.35,41,51.25,-,22.0,190.0,81.0,Right,-,-,1.9999999999999998,0.1,0.51,11.5,18.249999999999996,10.12,8.080000000000002,0.13,0.09
T. Ángel,-,195.0,2,35,0,0,2,0,0,0,0,0,0,0,0,0,-,13,100.0,0,0,-,2,2,0,0,0.0,7,14.29,3,1,0.0,1,2,0,0,Colombia,Atl. Nacional,RM,0,0,-,0,1,0,20,14,70.0,-,0,0,0,13,0,0,1,4,0,0.0,1,33.33,0,1,100.0,0,0.0,-,18.0,175.0,-,Both,-,-,0.0,-,-,0.0,0.28,0.32,-0.04,0.0,0.0
C. Robles,-,217.0,12,517,3,2,9,1,0,0,1,0,3,2,0,0,-,335,90.15,1,0,-,25,5,22,6,0.15999999999999998,79,44.3,33,21,38.1,12,20,28,33,Colombia,Cali,DM,2,1,50.0,2,3,5,499,420,84.17,66.67,0,1,0,302,1,0,35,46,20,43.48,15,45.45,8,7,58.33,11,55.0,-,29.0,185.0,78.0,Right,-,11.09,0.26,0.05,0.16,11.0,6.41,3.4800000000000004,2.9200000000000004,0.07,0.07
J. Muñoz,-,213.0,5,142,0,0,5,0,0,0,1,0,3,1,0,0,-,76,85.53,3,0,-,15,3,9,2,0.34,29,37.93,15,4,25.0,4,6,3,6,Colombia,Junior,DM,1,0,0.0,2,5,3,120,89,74.17,33.33,2,0,0,65,1,0,11,14,7,50.0,4,26.67,1,3,75.0,4,66.67,-,27.0,168.0,65.0,Right,-,-,0.44,0.11,-,0.0,2.71,1.7299999999999998,0.9799999999999999,0.0,0.0
N. Rubiano,-,183.0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,-,53,88.68,0,3,0.0,4,1,6,2,0.0,20,40.0,6,5,60.0,2,5,8,1,Colombia,Huila,LD,1,0,0.0,0,5,1,85,65,76.47,-,0,0,0,47,0,0,8,14,6,42.86,2,33.33,3,0,0.0,3,60.0,-,22.0,-,-,Both,-,-,0.0,-,-,0.0,0.95,1.06,-0.11,0.17,0.09
Dylan Stiven Lozano Chica,-,192.0,3,209,3,2,0,0,0,1,0,0,0,0,0,0,-,53,86.79,1,1,0.0,7,2,7,0,0.0,27,77.78,9,5,60.0,4,8,11,4,Colombia,Huila,RD,0,0,-,0,2,7,98,84,85.71,-,0,0,0,46,0,0,21,18,14,77.78,7,77.78,3,4,100.0,8,100.0,-,19.0,-,-,Both,-,-,0.0,-,-,0.0,2.0,4.27,-2.27,0.26,0.26
E. Rodríguez,-,219.0,13,1023,11,8,2,3,1,3,1,0,13,8,0,0,-,347,71.76,20,42,30.95,134,17,29,11,1.8800000000000001,222,40.54,168,18,44.44,82,29,21,38,Colombia,Millonarios,LM,7,5,71.43,11,9,8,719,459,63.84,61.54,1,4,0,249,8,13,90,54,26,48.15,64,38.1,8,39,47.56,17,58.62,-,21.0,174.0,68.0,Right,-,-,4.8,0.14,0.63,15.7,14.959999999999999,7.910000000000001,6.999999999999999,0.01,0.01
J. Sinisterra,-,197.0,2,40,0,0,2,0,0,0,0,0,0,0,0,0,-,13,84.62,0,0,-,10,1,1,1,0.0,15,6.67,12,4,0.0,2,1,1,5,Colombia,Jaguares,CM,0,0,-,0,0,1,40,21,52.5,-,0,0,0,11,0,0,1,3,0,0.0,1,8.33,0,0,0.0,0,0.0,-,21.0,-,-,Both,-,-,0.0,-,-,0.0,0.29,1.08,-0.79,0.0,0.0
D. Bueno,-,238.0,9,736,7,2,2,0,0,0,2,0,2,0,0,0,-,391,85.17,2,0,-,46,16,63,4,0.16,96,63.54,24,34,61.76,5,25,42,42,Colombia,Indep. Medellin,CD,1,0,0.0,0,11,2,600,500,83.33,0.0,2,0,0,333,0,0,61,72,44,61.11,17,70.83,21,5,100.0,15,60.0,-,20.0,190.0,85.0,Both,-,-,0.02,0.08,-,0.0,6.63,6.000000000000001,0.63,0.17,0.07
C. Ordóñez,-,195.0,9,776,8,0,1,0,0,0,1,0,0,0,0,0,-,241,79.67,1,1,0.0,29,5,35,1,0.0,67,61.19,12,30,66.67,2,7,33,27,Colombia,Envigado,CD,0,0,-,0,6,2,377,301,79.84,-,0,0,0,192,0,0,41,55,33,60.0,8,66.67,20,2,100.0,5,71.43,-,19.0,-,-,Both,-,-,0.08,-,-,0.0,6.909999999999999,9.41,-2.47,1.16,0.48
Adrian Gustavo Ramos,-,195.0,18,1273,13,5,5,3,1,11,2,0,33,13,0,0,-,305,77.38,16,5,0.0,114,15,16,9,3.4099999999999997,204,36.27,158,76,40.79,23,23,20,33,Colombia,America,F,16,3,18.75,15,11,14,626,389,62.14,39.39,12,7,1,236,7,0,74,46,17,36.96,57,36.08,31,15,65.22,11,47.83,-,35.0,185.0,78.0,Right,3.16,-,1.7300000000000004,0.1,1.14,6.67,15.090000000000002,10.38,4.71,0.01,0.01
Mateo Puerta Pelaez,-,208.0,8,710,8,1,0,0,1,0,4,1,2,1,0,0,-,281,79.36,2,10,40.0,46,20,40,2,0.09,110,56.36,43,20,70.0,12,28,45,42,Colombia,Aguilas,RD,1,0,0.0,0,26,4,498,383,76.91,50.0,1,0,0,223,1,4,62,67,37,55.22,25,58.14,14,7,58.33,15,53.57,-,24.0,172.0,72.0,Right,-,-,1.6199999999999999,0.04,-,0.0,6.279999999999999,11.559999999999999,-5.2700000000000005,0.67,0.22
E. Guerrero,-,-,1,11,0,0,1,0,0,0,0,0,0,0,0,0,-,4,100.0,0,1,100.0,0,0,0,0,0.0,1,0.0,1,1,0.0,0,0,0,0,Colombia,Indep. Santa Fe,LM,0,0,-,0,0,0,6,5,83.33,-,0,0,0,4,0,1,0,0,0,-,0,0.0,0,0,-,0,-,-,24.0,-,-,Right,-,-,0.0,-,-,0.0,0.0,0.07,-0.07,0.0,0.0
Juan Jose Tello,-,-,3,195,2,0,1,0,0,0,0,0,1,1,0,0,-,108,81.48,0,5,40.0,13,4,13,2,0.01,38,50.0,13,4,50.0,8,12,9,8,Colombia,Cali,RM,0,0,-,0,4,2,169,129,76.33,100.0,0,0,0,88,0,2,19,25,11,44.0,8,61.54,2,5,62.5,6,50.0,-,19.0,-,-,Both,-,-,0.17,0.01,-,0.0,3.15,0.59,2.5599999999999996,0.0,0.0
Daniel Felipe Ruiz Rivera,-,214.0,17,1103,11,8,6,3,5,1,0,1,30,15,1,1,100.0,598,80.6,17,31,32.26,108,14,16,7,3.18,165,43.64,115,14,14.29,70,29,25,37,Colombia,Millonarios,RM,10,3,30.0,16,3,26,901,663,73.58,50.0,8,5,2,482,5,10,72,50,14,28.0,58,50.43,2,45,64.29,10,34.48,-,20.0,171.0,-,Left,-,-,4.6899999999999995,0.11,1.06,3.45,17.619999999999997,7.86,9.749999999999998,0.0,0.0
J. Hernández,-,229.0,17,1095,12,8,5,1,0,0,6,0,8,5,0,0,-,506,86.76,1,7,14.29,58,12,76,23,0.5700000000000001,155,64.52,46,29,44.83,8,58,66,82,Colombia,A. Bucaramanga,CM,3,1,33.33,1,16,7,841,710,84.42,62.5,1,2,0,439,0,1,100,109,71,65.14,29,63.04,13,8,100.0,41,70.69,-,35.0,176.0,73.0,Right,-,-,0.49,0.07,0.57,3.7,12.01,10.18,1.78,0.43,0.23
Neider Barona Solis,-,-,1,14,0,0,1,0,0,0,0,0,1,0,0,0,-,2,100.0,0,0,-,2,1,1,0,0.07,6,50.0,5,3,66.67,1,1,0,0,Colombia,La Equidad,RM,0,0,-,0,0,0,9,5,55.56,0.0,1,0,0,2,0,0,3,1,1,100.0,2,40.0,2,0,0.0,1,100.0,Colombia U21,24.0,176.0,71.0,Both,-,9.19,0.02,0.07,-,0.0,0.09,0.46,-0.37,0.0,0.0
Alexis Serna Romana,-,209.0,10,477,3,3,7,0,0,0,2,0,8,2,0,0,-,216,87.96,0,2,50.0,32,6,26,4,0.42,101,59.41,61,23,56.52,24,25,24,22,Colombia,Quindio,F,1,0,0.0,0,10,4,391,312,79.8,25.0,4,2,0,190,0,1,60,40,23,57.5,37,60.66,13,18,75.0,15,60.0,-,23.0,-,-,Both,-,-,0.15000000000000002,0.05,-,0.0,3.97,6.019999999999999,-2.0500000000000003,0.04,0.04
Bruno Teliz Carrasco,-,189.0,17,1422,15,6,2,0,2,0,3,1,16,5,0,0,-,588,79.59,8,15,46.67,105,19,66,16,0.9600000000000001,250,55.2,118,49,65.31,45,61,69,66,Uruguay,A. Bucaramanga,CM,2,0,0.0,6,20,25,1025,774,75.51,31.25,7,4,0,468,3,7,138,132,79,59.85,59,50.0,32,29,64.44,39,63.93,-,30.0,174.0,67.0,Left,-,-,1.8800000000000003,0.06,-,0.0,15.099999999999998,12.83,2.19,0.13,0.11
Kevin Orlando Andrade Murillo,-,225.0,16,1441,15,2,1,0,1,1,5,0,10,3,0,0,-,731,88.78,2,1,0.0,75,24,112,21,0.6699999999999999,221,55.2,66,61,54.1,19,63,81,103,Colombia,America,DM,4,0,0.0,3,27,3,1193,994,83.32,30.0,6,1,0,649,0,0,122,155,84,54.19,38,57.58,33,15,78.95,37,58.73,-,22.0,186.0,81.0,Right,-,-,0.53,0.07,-,0.0,13.35,14.469999999999997,-1.1199999999999999,1.01,0.47
T. Gutiérrez,-,232.0,14,1162,11,4,3,5,1,7,5,0,15,6,0,0,-,626,77.64,21,7,28.57,131,9,18,10,3.22,187,35.29,108,17,29.41,37,48,19,49,Colombia,Cali,CM,10,4,40.0,15,15,18,932,650,69.74,40.0,6,3,0,486,10,2,66,79,24,30.38,42,38.89,5,18,48.65,18,37.5,-,36.0,181.0,73.0,Right,10.17,8.16,2.99,0.21,0.64,11.59,16.84,7.220000000000001,9.66,0.0,0.0
