Name,Number,xG per shot saved,xG conceded,Shots saved,InStat Index,Matches played,Minutes played,Clean sheets,Opponent's shots,Opponents' shots  on target,Goals conceded,"Shots saved, %",Supersaves,Penalties saved,Goals conceded - Penalties,"Penalties saved, %",Goalkeeper's interception,Good interception of goalkeeper,"Goalkeeper interceptions, %",Passes,Accurate passes,"Accurate passes, %",Key passes,Key passes accurate,Fouls,Foot passes from open play,Accurate foot passes from open play,"Accurate foot passes from open play, %",Hand passes,"Hand passes, accurate","Hand passes, accurate, %",Passes from set pieces,Accurate passes from set pieces,"Set piece passes, accurate, %",Short passes,Short passes accurate,"Short passes, accurate, %",Medium passes,Medium passes - accurate,"Mid range passes, accurate, %",Long passes,Accurate long passes,"Accurate long passes, %",xG per shot taken,xG per goal conceded,Opponents' xG conversion,Close range shots,Close range shots on target,Close range shots saved,"Сlose range shots saved, %",Mid range shots,Mid range shots on target,Mid range shots saved,"Mid range shots saved, %",Long range shots,Long range shots on target,Long range shots saved,% of long range shots saved,Jumping saves,Saves without jumping,Stopped shots,"Stopped shots, %",Shots saved with successful bouncing,"Shots saved with successful bouncing, %",Shots saved with unsuccessful bouncing,"Shots saved with unsuccessful bouncing, %",Nationality,Team,National team ,Age,Height,Weight,Foot,"National team (last match date, mm.yy)","Youth national team (last match date, mm.yy)"
L. Hurtado,13,1.0909090909090908,12.0,11,186.0,5,476,0,77,26,15,42.30769230769231,1,0,3,0.0,12,7,58.333333333333336,163,138,84.66257668711657,0,0,1,101,84,83.16831683168317,11,11,100.0,49,42,85.71428571428571,4,3,75.0,92,86,93.47826086956522,67,49,73.13432835820896,0.15584415584415584,0.8,1.25,28,8,1,3.571428571428571,26,10,2,7.6923076923076925,23,8,8,34.78260869565217,3,8,7,9.090909090909092,2,2.5974025974025974,2,2.5974025974025974,Colombia,Patriotas,-,27,186,78,Right,-,7.16
L. Castellanos,22,0.42326315789473695,40.21000000000001,95,225.0,41,3966,17,381,127,34,74.80314960629921,34,2,5,6.896551724137931,130,113,86.92307692307692,1034,901,87.13733075435202,0,0,3,521,425,81.57389635316699,171,168,98.24561403508771,332,300,90.36144578313254,65,61,93.84615384615384,592,585,98.81756756756756,377,255,67.63925729442971,0.10553805774278217,1.1826470588235296,0.8455608057697088,115,31,21,18.26086956521739,131,52,36,27.480916030534353,135,44,38,28.14814814814815,34,57,44,11.548556430446194,44,11.548556430446194,3,0.7874015748031495,Colombia,Indep. Santa Fe,-,37,180,82,Right,11.17,-
W. Mosquera,1,0.6000000000000001,10.8,18,207.0,10,990,2,90,32,14,56.25,4,2,2,16.666666666666664,22,20,90.9090909090909,312,296,94.87179487179486,0,0,0,206,192,93.20388349514563,38,38,100.0,60,58,96.66666666666667,12,12,100.0,262,256,97.70992366412213,38,28,73.68421052631578,0.12000000000000001,0.7714285714285715,1.2962962962962963,30,14,8,26.666666666666668,30,12,6,20.0,30,6,4,13.333333333333334,0,16,12,13.333333333333334,4,4.444444444444445,0,0.0,Colombia,Huila,-,36,194,80,Right,-,-
V. Cabezas,12,0.40117647058823525,20.459999999999997,51,168.0,18,1752,6,221,73,22,69.86301369863014,20,1,1,4.761904761904762,67,59,88.05970149253731,524,420,80.1526717557252,3,1,1,260,201,77.3076923076923,72,72,100.0,174,133,76.4367816091954,16,16,100.0,279,268,96.05734767025089,229,136,59.388646288209614,0.09257918552036198,0.9299999999999998,1.0752688172043012,65,14,5,7.6923076923076925,77,34,22,28.57142857142857,79,25,24,30.37974683544304,35,16,20,9.049773755656108,28,12.669683257918551,3,1.3574660633484164,Colombia,Deportivo,-,24,190,85,Both,-,-
R. Jérez,12,0.48333333333333334,2.9,6,184.0,4,393,0,26,15,9,40.0,1,0,0,0.0,10,7,70.0,81,64,79.01234567901234,0,0,0,33,22,66.66666666666666,7,6,85.71428571428571,40,35,87.5,4,3,75.0,25,24,96.0,52,37,71.15384615384616,0.11153846153846153,0.3222222222222222,3.103448275862069,6,3,1,16.666666666666664,11,7,1,9.090909090909092,9,5,4,44.44444444444444,1,5,3,11.538461538461538,3,11.538461538461538,0,0.0,Guatemala,Municipal,-,35,192,85,Left,7.21,-
J. Escobar,25,0.4452941176470588,7.569999999999999,17,170.0,8,779,0,80,34,17,50.0,4,0,0,0.0,52,45,86.53846153846155,213,190,89.2018779342723,0,0,0,118,100,84.7457627118644,44,44,100.0,49,44,89.79591836734694,27,26,96.29629629629629,128,125,97.65625,58,39,67.24137931034483,0.09462499999999999,0.4452941176470588,2.2457067371202117,27,7,2,7.4074074074074066,40,21,10,25.0,13,6,5,38.46153846153847,6,11,8,10.0,5,6.25,4,5.0,Colombia,Once Caldas,-,34,190,79,Right,-,-
J. Contreras,33,0.4482758620689655,13.0,29,216.0,10,923,2,113,38,15,76.31578947368422,9,0,3,0.0,31,30,96.7741935483871,298,240,80.53691275167785,0,0,1,145,107,73.79310344827587,39,39,100.0,69,61,88.40579710144928,9,9,100.0,152,144,94.73684210526315,137,87,63.503649635036496,0.11504424778761062,0.8666666666666667,1.1538461538461537,35,12,4,11.428571428571429,27,15,11,40.74074074074074,31,11,9,29.03225806451613,10,14,12,10.619469026548673,8,7.079646017699115,4,3.5398230088495577,Venezuela,San Carlos,-,26,189,86,Right,11.17,1.13
G. Banguera,12,0.48216666666666674,28.930000000000003,60,184.0,18,1726,0,209,95,35,63.1578947368421,17,0,3,0.0,73,68,93.15068493150685,520,465,89.42307692307693,1,0,0,280,243,86.78571428571429,87,87,100.0,143,125,87.41258741258741,30,29,96.66666666666667,314,310,98.72611464968153,176,126,71.5909090909091,0.13842105263157897,0.8265714285714286,1.2098167991704112,82,24,17,20.73170731707317,85,55,30,35.294117647058826,42,16,13,30.952380952380953,18,35,27,12.918660287081341,20,9.569377990430622,6,2.8708133971291865,Colombia,Huila,-,25,187,80,Right,-,-
E. Giraldo,33,0.4875,3.9,8,204.0,4,390,2,41,13,5,61.53846153846154,2,0,0,0.0,15,14,93.33333333333333,118,100,84.7457627118644,0,0,0,60,43,71.66666666666667,20,20,100.0,35,34,97.14285714285714,3,3,100.0,68,63,92.64705882352942,47,34,72.3404255319149,0.0951219512195122,0.78,1.2820512820512822,16,4,2,12.5,13,6,3,23.076923076923077,12,3,3,25.0,5,2,6,14.634146341463413,1,2.4390243902439024,0,0.0,Colombia,Cartagena,-,29,199,88,Right,-,-
J. Chunga,12,0.37062500000000004,53.370000000000005,144,266.0,38,3683,12,527,182,40,79.12087912087912,40,2,5,5.714285714285714,107,102,95.32710280373831,1093,934,85.45288197621225,0,0,0,534,434,81.27340823970037,168,168,100.0,377,320,84.88063660477454,48,48,100.0,603,581,96.35157545605307,442,305,69.00452488687783,0.10127134724857687,1.3342500000000002,0.7494847292486415,185,35,20,10.81081081081081,166,76,59,35.54216867469879,176,71,65,36.93181818181818,47,87,68,12.903225806451612,57,10.815939278937382,9,1.7077798861480076,Colombia,Alianza,-,30,178,73,Right,-,-
