,match_date,team1_name,team2_name,Prob L,Prob E,Prob V
0,2022-05-15 01:00:00,America de Cali,Union Magdalena,0.41,0.3,0.29
1,2022-05-15 01:00:00,Aguilas Doradas,Cortulua,0.36,0.3,0.34
2,2022-05-15 01:00:00,Independiente Medellin,Deportivo Pasto,0.49,0.26,0.25
3,2022-05-15 01:00:00,CD Popular Junior FC SA,Jaguares de Cordoba,0.49,0.27,0.23
4,2022-05-15 01:00:00,Patriotas Boyaca,Deportivo Cali,0.36,0.29,0.34
5,2022-05-15 01:00:00,Deportivo Pereira,Atletico Bucaramanga,0.42,0.29,0.29
6,2022-05-15 01:00:00,Deportes Tolima,Envigado,0.42,0.28,0.31
7,2022-05-15 01:00:00,La Equidad,Atletico Nacional,0.43,0.27,0.3
8,2022-05-15 01:00:00,Once Caldas,Independiente Santa Fe,0.46,0.26,0.28
9,2022-05-15 01:00:00,Millonarios,Alianza Petrolera,0.54,0.25,0.21
10,2022-05-08 01:00:00,Atletico Bucaramanga,Patriotas Boyaca,0.42,0.28,0.3
11,2022-05-08 01:00:00,Alianza Petrolera,Once Caldas,0.35,0.28,0.37
12,2022-05-08 01:00:00,Deportivo Cali,Independiente Santa Fe,0.46,0.27,0.27
13,2022-05-08 01:00:00,Union Magdalena,La Equidad,0.33,0.29,0.37
14,2022-05-08 01:00:00,Cortulua,CD Popular Junior FC SA,0.44,0.29,0.27
15,2022-05-08 01:00:00,Millonarios,Deportes Tolima,0.56,0.24,0.2
16,2022-05-08 01:00:00,Deportivo Pasto,America de Cali,0.41,0.28,0.31
17,2022-05-08 01:00:00,Jaguares de Cordoba,Independiente Medellin,0.41,0.29,0.31
18,2022-05-08 01:00:00,Envigado,Aguilas Doradas,0.36,0.29,0.34
19,2022-05-08 01:00:00,Atletico Nacional,Deportivo Pereira,0.47,0.28,0.25
20,2022-05-01 01:00:00,America de Cali,Alianza Petrolera,0.41,0.28,0.31
21,2022-05-01 01:00:00,Deportivo Pereira,Union Magdalena,0.44,0.3,0.26
22,2022-05-01 01:00:00,Aguilas Doradas,Deportivo Pasto,0.53,0.25,0.22
23,2022-05-01 01:00:00,Independiente Santa Fe,Jaguares de Cordoba,0.48,0.26,0.26
24,2022-05-01 01:00:00,CD Popular Junior FC SA,Envigado,0.5,0.28,0.23
25,2022-05-01 01:00:00,Patriotas Boyaca,Millonarios,0.35,0.28,0.37
26,2022-05-01 01:00:00,Independiente Medellin,Atletico Nacional,0.37,0.28,0.35
27,2022-05-01 01:00:00,Once Caldas,Deportivo Cali,0.42,0.28,0.3
28,2022-05-01 01:00:00,La Equidad,Atletico Bucaramanga,0.49,0.27,0.24
29,2022-05-01 01:00:00,Deportes Tolima,Cortulua,0.31,0.28,0.41
30,2022-04-24 01:00:00,Deportivo Cali,Aguilas Doradas,0.44,0.29,0.27
31,2022-04-24 01:00:00,Envigado,Deportivo Pereira,0.38,0.3,0.31
32,2022-04-24 01:00:00,Millonarios,Independiente Santa Fe,0.49,0.26,0.26
33,2022-04-24 01:00:00,Alianza Petrolera,Deportes Tolima,0.45,0.26,0.29
34,2022-04-24 01:00:00,Deportivo Pasto,Patriotas Boyaca,0.38,0.27,0.35
35,2022-04-24 01:00:00,Jaguares de Cordoba,America de Cali,0.44,0.29,0.27
36,2022-04-24 01:00:00,Cortulua,La Equidad,0.45,0.28,0.27
37,2022-04-24 01:00:00,Atletico Nacional,Once Caldas,0.43,0.27,0.3
